queue_id,tasks,median_wait,p80_wait,sla_breach_rate
ULTRASOUND-01,8,15.593441666666667,18.869563333333332,0.0
CLINIC-A,10,13.299408333333332,18.62799,0.1
XRAY-01,2,11.134383333333332,12.509053333333334,0.0
QUEUE-ROOM-GASTRO-304-CLINICAL_CONSULT,8,2.304975,3.3992600000000004,0.0
QUEUE-ROOM-GENERAL-101-CLINICAL_CONSULT,7,1.6082750000000001,2.2967000000000004,0.0
QUEUE-ROOM-NEURO-202-CLINICAL_CONSULT,8,1.6599916666666665,1.7333366666666667,0.0
QUEUE-ROOM-ENT-203-CLINICAL_CONSULT,29,1.0292333333333332,1.0292333333333332,0.0
QUEUE-ROOM-ER-102-CLINICAL_CONSULT,9,0.8085166666666667,0.9000966666666667,0.0
QUEUE-ROOM-URO-402-CLINICAL_CONSULT,6,0.6563666666666667,0.6563666666666667,0.0
QUEUE-ROOM-CARD-201-CLINICAL_CONSULT,7,0.4351333333333333,0.4351333333333333,0.0
QUEUE-ROOM-DERM-204-CLINICAL_CONSULT,5,,,0.0
QUEUE-ROOM-ENDO-404-CLINICAL_CONSULT,5,,,0.0
QUEUE-ROOM-OBGYN-302-CLINICAL_CONSULT,5,,,0.0
QUEUE-ROOM-OPH-403-CLINICAL_CONSULT,5,,,0.0
QUEUE-ROOM-ORTHO-303-CLINICAL_CONSULT,7,,,0.0
QUEUE-ROOM-PED-301-CLINICAL_CONSULT,5,,,0.0
QUEUE-ROOM-PSYCH-405-CLINICAL_CONSULT,5,,,0.0
QUEUE-ROOM-RESP-401-CLINICAL_CONSULT,5,,,0.0
